filename,language,genre
Cotton-EyedJoe.ogg,english,folk
Habaneras.ogg,english,classical
Every Day Will Be Sunday When the Town Goes Dry - Edward Meeker (1919).ogg,english,spoken
Encore (feat. GUMI English) - official audio.ogg,english,pop
Be Thankful Song.ogg,english,folk
Everybody gives me good advice - Bob Roberts 1906.ogg,english,spoken
Cohen Owes Me 97 Dollars .ogg,english,spoken
Boykisser song.wav,english,pop
Golden Vanity.ogg,english,folk
Daisy Bell sung by DECtalk (2).flac,english,spoken
ArtieShaw-DayAfterDay1938.ogg,english,jazz
Harvest Hymn.ogg,english,folk
ElsieBaker-ILoveYouTruly.ogg,english,spoken
"Beautiful Ohio - Henry Burr & Ruth Lenox, 1919.ogg",english,spoken
Al Bowly - Guilty.ogg,english,spoken
Daisy Bell sung by DECtalk.flac,english,spoken
Eagle Song of the Hopi Indians of AZ.ogg,english,traditional
Good Liquor Gonna Carry Me Down.ogg,english,folk
"Dibdin - Oh, What A Charming Thing's A Battle.ogg",english,spoken
আমি বনফুল গো.mp3,bangla,pop
এই পথ যদি না শেষ হয় (দ্বৈত).mp3,bangla,pop
আমি খাতার পাতায় চেয়েছিলাম.mp3,bangla,pop
আকাশ প্রদীপ জ্বলে.mp3,bangla,pop
আমি সাগরের বেলা.mp3,bangla,pop
আমি টাকডুম টাকডুম বাজাই.mp3,bangla,pop
আমি নিরালায় বসে.mp3,bangla,pop
এই কূলে আমি.mp3,bangla,pop
আমি এত যে তোমায় ভালবেসেছি.mp3,bangla,pop
এই রাত তোমার আমার.mp3,bangla,pop
