rep,method,k,ARI,silhouette,davies_bouldin,n_clusters_found,eps,min_samples,n_noise
audio_baseline_meanmel,kmeans,2.0,-0.03220338983050847,0.3431343138217926,1.0446460341433887,2,,,
audio_baseline_meanmel,agglomerative_ward,2.0,-0.02301691137277705,0.34004107117652893,1.05831675365457,2,,,
audio_baseline_meanmel,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
audio_baseline_meanmel,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
audio_baseline_meanmel,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
audio_vae_latent,kmeans,2.0,-0.03874269005847953,0.03854764252901077,3.1254937011860067,2,,,
audio_vae_latent,agglomerative_ward,2.0,0.026779661016949154,0.05262772738933563,3.2499667553719904,2,,,
audio_vae_latent,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
audio_vae_latent,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
audio_vae_latent,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
lyrics_svd,kmeans,2.0,0.8618510596927863,0.021158544346690178,3.98406144095145,2,,,
lyrics_svd,agglomerative_ward,2.0,0.8618510596927863,0.021158544346690178,3.98406144095145,2,,,
lyrics_svd,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
lyrics_svd,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
lyrics_svd,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
hybrid_alpha1_audioVAE_plus_lyrics,kmeans,2.0,-0.0692249811888638,0.023605626076459885,2.862362860306448,2,,,
hybrid_alpha1_audioVAE_plus_lyrics,agglomerative_ward,2.0,0.2425740175413093,0.012574052438139915,4.305761754348682,2,,,
hybrid_alpha1_audioVAE_plus_lyrics,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
hybrid_alpha1_audioVAE_plus_lyrics,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
hybrid_alpha1_audioVAE_plus_lyrics,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
hybrid_alpha0.3_audioVAE_plus_lyrics,kmeans,2.0,0.7328947368421053,0.020230310037732124,3.938890267750446,2,,,
hybrid_alpha0.3_audioVAE_plus_lyrics,agglomerative_ward,2.0,0.501889385091034,0.01953454129397869,3.7758923168287803,2,,,
hybrid_alpha0.3_audioVAE_plus_lyrics,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
hybrid_alpha0.3_audioVAE_plus_lyrics,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
hybrid_alpha0.3_audioVAE_plus_lyrics,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
hybrid_alpha0.1_audioVAE_plus_lyrics,kmeans,2.0,0.8618510596927863,0.02102609910070896,3.987260193364712,2,,,
hybrid_alpha0.1_audioVAE_plus_lyrics,agglomerative_ward,2.0,0.8618510596927863,0.02102609910070896,3.987260193364712,2,,,
hybrid_alpha0.1_audioVAE_plus_lyrics,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
hybrid_alpha0.1_audioVAE_plus_lyrics,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
hybrid_alpha0.1_audioVAE_plus_lyrics,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
hybrid_alpha0.03_audioVAE_plus_lyrics,kmeans,2.0,0.8618510596927863,0.02114660106599331,3.984350388040221,2,,,
hybrid_alpha0.03_audioVAE_plus_lyrics,agglomerative_ward,2.0,0.8618510596927863,0.02114660106599331,3.984350388040221,2,,,
hybrid_alpha0.03_audioVAE_plus_lyrics,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
hybrid_alpha0.03_audioVAE_plus_lyrics,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
hybrid_alpha0.03_audioVAE_plus_lyrics,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
hybrid_alpha0.01_audioVAE_plus_lyrics,kmeans,2.0,0.8618510596927863,0.02115722931921482,3.984093484518758,2,,,
hybrid_alpha0.01_audioVAE_plus_lyrics,agglomerative_ward,2.0,0.8618510596927863,0.02115722931921482,3.984093484518758,2,,,
hybrid_alpha0.01_audioVAE_plus_lyrics,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
hybrid_alpha0.01_audioVAE_plus_lyrics,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
hybrid_alpha0.01_audioVAE_plus_lyrics,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
hybrid_alpha0.003_audioVAE_plus_lyrics,kmeans,2.0,0.8618510596927863,0.021158430725336075,3.9840640938674077,2,,,
hybrid_alpha0.003_audioVAE_plus_lyrics,agglomerative_ward,2.0,0.8618510596927863,0.021158430725336075,3.9840640938674077,2,,,
hybrid_alpha0.003_audioVAE_plus_lyrics,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
hybrid_alpha0.003_audioVAE_plus_lyrics,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
hybrid_alpha0.003_audioVAE_plus_lyrics,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
hybrid_alpha0.001_audioVAE_plus_lyrics,kmeans,2.0,0.8618510596927863,0.021158557385206223,3.9840615740439898,2,,,
hybrid_alpha0.001_audioVAE_plus_lyrics,agglomerative_ward,2.0,0.8618510596927863,0.021158557385206223,3.9840615740439898,2,,,
hybrid_alpha0.001_audioVAE_plus_lyrics,dbscan_eps0.5,,0.0,,,0,0.5,3.0,29.0
hybrid_alpha0.001_audioVAE_plus_lyrics,dbscan_eps1,,0.0,,,0,1.0,3.0,29.0
hybrid_alpha0.001_audioVAE_plus_lyrics,dbscan_eps1.5,,0.0,,,0,1.5,3.0,29.0
